EmployeeID,City,YearsAtCompany
124263,"Santa Rosa",5
124315,"Santa Rosa",9
124723,Denver,6
124934,"San Francisco",8
124945,Denver,8
125027,"San Francisco",5
125058,Honolulu,2
125077,Denver,2
125221,"San Diego",2
125453,Denver,0
125748,"San Diego",3
125863,"San Diego",5
125962,Seattle,6
126001,Denver,9
126217,"San Diego",3
126247,Denver,1
126324,Honolulu,1
126368,"San Diego",1
126383,"San Francisco",2
126395,Honolulu,0
126488,Honolulu,1
126645,"San Francisco",4
126662,Honolulu,7
126694,"San Francisco",9
126837,Seattle,6
126907,Seattle,5
127035,Seattle,2
127079,"San Francisco",4
127121,"Santa Rosa",3
127250,"San Francisco",0
127597,Denver,7
127629,Honolulu,9
127636,Denver,7
127763,Honolulu,6
127764,Seattle,8
127819,"San Francisco",3
127871,"Santa Rosa",9
127909,"San Diego",9
127970,Honolulu,6
128091,Seattle,4
128146,Denver,4
128199,Honolulu,2
128340,"San Diego",6
128486,Seattle,2
128494,"Santa Rosa",9
128509,"San Diego",3
128633,"San Diego",5
128677,Honolulu,4
128857,"Santa Rosa",6
129411,Denver,7
129412,Seattle,7
129416,Honolulu,0
129430,Denver,6
129487,"San Diego",9
129489,Seattle,6
129517,"San Francisco",9
129550,"San Diego",3
129656,Denver,5
129773,Denver,6
129885,"Santa Rosa",2
130078,"San Diego",5
130127,"Santa Rosa",8
130130,Denver,1
130240,Seattle,2
130280,Honolulu,10
130441,Honolulu,9
130510,Honolulu,1
130730,Seattle,2
131352,Honolulu,4
131385,Denver,1
131440,"San Francisco",0
131663,Denver,6
131670,"San Francisco",9
131747,"San Diego",2
131960,"San Diego",5
132014,"San Diego",7
132100,Seattle,7
132136,Seattle,7
132249,"San Diego",7
132252,"Santa Rosa",10
132281,"Santa Rosa",3
132304,Seattle,1
132811,Honolulu,1
132867,"San Diego",8
132913,"San Francisco",6
133069,Honolulu,4
133201,"San Francisco",8
133202,Denver,1
133314,"San Francisco",8
133503,Denver,2
133626,"Santa Rosa",4
133665,"Santa Rosa",4
133666,Seattle,8
133738,Seattle,2
133846,"San Diego",4
133867,"San Diego",8
134021,"Santa Rosa",2
134179,"Santa Rosa",6
134273,Seattle,4
134372,Denver,1
134393,Denver,7
134409,"San Diego",8
134434,Seattle,5
134760,Seattle,0
134799,Denver,1
134824,Honolulu,9
134939,"San Francisco",4
135131,"San Diego",6
135151,Seattle,0
135227,"Santa Rosa",3
135311,"San Francisco",10
135363,"Santa Rosa",7
135381,Seattle,3
135428,Seattle,4
135455,Honolulu,2
135549,Seattle,3
135776,Seattle,2
136113,Honolulu,9
136145,Denver,0
136360,"Santa Rosa",1
136389,"San Diego",8
136426,"San Francisco",3
136663,Honolulu,4
136697,"San Francisco",3
136832,"San Diego",3
136906,"Santa Rosa",7
136980,Denver,8
137085,"San Diego",7
137550,"San Francisco",7
137589,"San Diego",7
137864,Honolulu,4
137923,Seattle,6
137957,"San Diego",7
137960,"San Francisco",9
137967,Denver,5
137986,Denver,6
138073,Denver,3
138078,"San Francisco",7
138093,Denver,7
138236,Denver,4
138254,Honolulu,1
138380,Seattle,7
138472,"San Diego",7
138517,"San Diego",4
138622,Denver,7
138825,"San Diego",6
138994,Seattle,7
139009,"Santa Rosa",8
139134,"Santa Rosa",2
139306,"San Francisco",8
139317,"San Diego",3
139497,"San Diego",9
139617,"San Diego",3
139741,"Santa Rosa",7
139744,Seattle,3
139792,"Santa Rosa",4
139806,"San Francisco",6
